app_id,steam_tags,success
730,"FPS, Shooter, Multiplayer, Competitive, Action",True
570,"Free to Play, MOBA, Multiplayer, Strategy, e-sports",True
2215430,"Open World, Action, Story Rich, Adventure, Singleplayer",True
1245620,"Souls-like, Open World, Dark Fantasy, RPG, Difficult",True
1085660,"Free to Play, Open World, Multiplayer, Looter Shooter, MMORPG",True
1091500,"Cyberpunk, Open World, Nudity, RPG, Singleplayer",True
1086940,"RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat",True
578080,"Survival, Shooter, Battle Royale, Multiplayer, FPS",True
1172470,"Free to Play, Battle Royale, Multiplayer, FPS, Shooter",True
1142710,"Strategy, Turn-Based Strategy, Grand Strategy, RTS, Fantasy",True
553850,"Online Co-Op, PvE, Third-Person Shooter, Multiplayer, Action",True
1145350,"Action, Rogue-like, Rogue-lite, Hack and Slash, RPG",True
1144200,"Tactical, Realistic, FPS, Shooter, Multiplayer",True
252490,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft",True
271590,"Open World, Action, Multiplayer, Crime, Automobile Sim",True
1203220,"Battle Royale, Multiplayer, Martial Arts, Mature, PvP",True
227300,"Driving, Transportation, Simulation, Open World, Automobile Sim",True
1151340,"Open World, Multiplayer, Post-apocalyptic, Dark Comedy, RPG",True
230410,"Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action",True
1604030,"Survival, Open World, Base-Building, Vampire, Multiplayer",True
381210,"Horror, Multiplayer, Survival Horror, Online Co-Op, Co-op",True
306130,"RPG, MMORPG, Open World, Fantasy, Adventure",True
1363080,"Strategy, City Builder, Simulation, Historical, Base-Building",True
270880,"Automobile Sim, Driving, Open World, Transportation, Simulation",True
236390,"Free to Play, Simulation, Vehicular Combat, Combat, World War II",True
1364780,"2D Fighter, Fighting, Character Customization, Arcade, Action",True
359550,"FPS, PvP, Multiplayer, Tactical, e-sports",True
2195250,"Football (Soccer), Sports, Controller, Multiplayer, PvP",True
2479810,"Early Access, Online Co-Op, Tactical, FPS, Realistic",True
39210,"MMORPG, RPG, Massively Multiplayer, Character Customization, Fantasy",True
1172620,"Multiplayer, Open World, Adventure, Pirates, Co-op",True
2881650,"Online Co-Op, Horror, Multiplayer, Funny, First-Person",True
377160,"Open World, Post-apocalyptic, Singleplayer, Exploration, RPG",True
594650,"Open World, Extraction Shooter, Multiplayer, Atmospheric, Tactical",True
1868140,"Pixel Graphics, Casual, Management, Adventure, Relaxing",True
489830,"Open World, RPG, Adventure, Singleplayer, Fantasy",True
281990,"Space, Grand Strategy, Strategy, Sci-fi, 4X",True
413150,"Farming Sim, Pixel Graphics, Multiplayer, Life Sim, RPG",True
2461850,"Action-Adventure, Psychological Horror, Story Rich, Female Protagonist, Cinematic",True
294100,"Colony Sim, Base-Building, Survival, Strategy, Sandbox",True
812140,"Open World, RPG, Singleplayer, Historical, Action",True
292030,"Open World, RPG, Story Rich, Atmospheric, Mature",True
2344520,"Action RPG, Hack and Slash, Loot, Isometric, RPG",True
493340,"Simulation, Building, Management, Sandbox, Family Friendly",True
427410,"Survival, Online Co-Op, Open World Survival Craft, Crafting, Base-Building",True
1049590,"Free to Play, Anime, Sexual Content, Multiplayer, MOBA",True
2186680,"Character Customization, Cinematic, Story Rich, Turn-Based Strategy, Dark Fantasy",True
1449850,,True
221100,"Survival, Open World, Online Co-Op, Zombies, Multiplayer",True
552990,"Free to Play, Naval Combat, Action, Co-op, Tactical",True
813230,"Metroidvania, Exploration, Puzzle, Pixel Graphics, Puzzle-Platformer",True
1551360,"Racing, Open World, Driving, Multiplayer, Automobile Sim",True
394360,"Strategy, World War II, Grand Strategy, War, Historical",True
594570,"Strategy, Fantasy, Turn-Based Strategy, RTS, Grand Strategy",True
1174180,"Open World, Story Rich, Western, Adventure, Multiplayer",True
440,"Free to Play, Hero Shooter, Multiplayer, FPS, Shooter",True
1222670,"Life Sim, Character Customization, Free to Play, Building, Romance",True
1966720,"Online Co-Op, Horror, First-Person, Co-op, Survival Horror",True
1361210,"Horror, Team-Based, Combat, Class-Based, Hack and Slash",True
2670630,"Simulation, Management, Economy, Singleplayer, Multiplayer",True
1158310,"Strategy, Medieval, Grand Strategy, Simulation, RPG",True
892970,"Open World Survival Craft, Survival, Online Co-Op, Open World, Multiplayer",True
1623730,"Open World, Survival, Creature Collector, Multiplayer, Open World Survival Craft",True
2208920,"Open World, Action, RPG, Adventure, Singleplayer",True
1203620,"Open World, Survival, Base-Building, Multiplayer, Online Co-Op",True
349040,"Anime, Fighting, Action, Multiplayer, Ninja",True
1326470,"Survival, Open World, Multiplayer, Co-op, Survival Horror",True
2519060,"Action, FPS, Multiplayer, Singleplayer, Shooter",True
1244460,"Dinosaurs, Building, Simulation, Management, Sandbox",True
236850,"Grand Strategy, Strategy, Historical, Simulation, 4X",True
1665460,"Football (Soccer), Free to Play, Controller, Multiplayer, Sports",True
1812450,"Survival, Open World, Crafting, Medieval, City Builder",True
1248130,"Simulation, Farming Sim, Co-op, Multiplayer, Agriculture",True
739630,"Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op",True
454650,"Anime, Fighting, Character Customization, Action, Multiplayer",True
648800,"Survival, Multiplayer, Open World Survival Craft, Co-op, Crafting",True
2399830,"Early Access, Survival, Open World, Multiplayer, Dinosaurs",True
1962663,,True
1887840,"Souls-like, 3D Platformer, Funny, Action RPG, Nonlinear",True
284160,"Simulation, Driving, Physics, Realistic, Destruction",True
444200,"Tanks, Free to Play, Shooter, Action, FPS",True
223750,"Simulation, Flight, Free to Play, Military, Multiplayer",True
2420110,"Open World, Singleplayer, Female Protagonist, Action, Exploration",True
1145360,"Action Roguelike, Rogue-lite, Hack and Slash, Indie, Mythology",True
1943950,"Horror, Multiplayer, Online Co-Op, Psychological Horror, Co-op",True
364360,"Strategy, Fantasy, RTS, War, Turn-Based Strategy",True
766570,"Fishing, Multiplayer, Free to Play, Simulation, Nature",True
1284190,"Open World Survival Craft, Base-Building, Survival, Online Co-Op, Co-op",True
1332010,"Cats, Adventure, Atmospheric, Cyberpunk, Singleplayer",True
311210,"Multiplayer, Zombies, FPS, Shooter, Action",True
1672970,"Dungeon Crawler, Hack and Slash, Adventure, Action, RPG",True
1250410,"Simulation, Flight, Realistic, Multiplayer, Open World",True
1177980,"Cats, Cute, Wholesome, Exploration, Cozy",True
867210,"Local Multiplayer, Turn-Based Tactics, 4X, Tactical, Turn-Based Strategy",True
582010,"Co-op, Multiplayer, Action, Open World, RPG",True
2132850,"Co-op, Bullet Hell, Action Roguelike, Cute, Anime",True
397540,"RPG, Looter Shooter, Multiplayer, FPS, Online Co-Op",True
582160,"Open World, Assassin, Action, RPG, Stealth",True
2338770,"Sports, Basketball, Simulation, e-sports, Realistic",True
2379780,"Card Game, Roguelike Deckbuilder, Rogue-like, Deckbuilding, Singleplayer",True
22380,"Open World, RPG, Post-apocalyptic, Singleplayer, Moddable",True
753640,"Exploration, Space, Mystery, Story Rich, Adventure",True
2054970,"Open World, RPG, Action RPG, Fantasy, Singleplayer",True
255710,"City Builder, Simulation, Building, Management, Strategy",True
2349820,,True
1627720,"Souls-like, Action, Dark Fantasy, Action RPG, Singleplayer",True
2141910,,True
1371980,"Early Access, Open World, Souls-like, Action RPG, Combat",True
814380,"Souls-like, Difficult, Action, Singleplayer, Ninja",True
2252570,"Simulation, Sports, Management, Football (Soccer), Strategy",True
1286830,"Free to Play, Multiplayer, MMORPG, Character Customization, Open World",True
1492070,"Story Rich, Multiplayer, Survival, 3D, Shoot 'Em Up",True
1840080,"Space, RTS, Strategy, Sci-fi, Story Rich",True
1778820,"Fighting, 3D Fighter, Action, Multiplayer, Local Multiplayer",True
2157560,"2D Fighter, Action, Anime, Fighting, Multiplayer",True
2073850,,True
1282100,"Souls-like, Co-op, Action, Adventure, Third-Person Shooter",True
960090,"Tower Defense, Strategy, Multiplayer, Singleplayer, Online Co-Op",True
232090,"Zombies, Multiplayer, Online Co-Op, Gore, FPS",True
291550,"Free to Play, Multiplayer, Fighting, 2D Fighter, 2D Platformer",True
108600,"Survival, Zombies, Open World, Multiplayer, Open World Survival Craft",True
2426960,,True
105600,"Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer",True
244210,"Racing, Automobile Sim, Simulation, Driving, Multiplayer",True
266410,"Racing, Automobile Sim, Simulation, VR, Sports",True
356190,"Open World, Action, RPG, Singleplayer, Fantasy",True
2668080,,True
703080,"Management, Simulation, Building, Sandbox, Nature",True
1659040,"Stealth, Assassin, Action, Singleplayer, VR",True
2835570,"Multiplayer, Dark, Gambling, Horror, First-Person",True
1465360,"Simulation, Automobile Sim, Multiplayer, Adventure, Driving",True
238960,"Free to Play, Dark Fantasy, Action RPG, Hack and Slash, Loot",True
1973530,,True
552500,"Co-op, Dark Fantasy, Games Workshop, Online Co-Op, Hack and Slash",True
251570,"Survival, Zombies, Multiplayer, Open World, Open World Survival Craft",True
1997040,,True
2524890,,True
1128860,"Multiplayer, Co-op, World War II, RTS, Strategy",True
761890,"Free to Play, MMORPG, Open World, Massively Multiplayer, Sandbox",True
1465460,"Early Access, Base-Building, Post-apocalyptic, City Builder, Zombies",True
805550,"Racing, Automobile Sim, Simulation, VR, Multiplayer",True
289070,"Strategy, Turn-Based Strategy, Multiplayer, Historical, Grand Strategy",True
990080,"Magic, Open World, Fantasy, Singleplayer, Adventure",True
1260320,"Multiplayer, Funny, Casual, Cute, Party Game",True
767560,"Robots, Mechs, Free to Play, PvP, Multiplayer",True
632360,"Third-Person Shooter, Action Roguelike, Multiplayer, Co-op, Action",True
1407200,"Tanks, Free to Play, Action, Military, PvP",True
2161700,"JRPG, RPG, Anime, Party-Based RPG, Turn-Based Strategy",True
322330,"Survival, Open World Survival Craft, Multiplayer, Co-op, Open World",True
1611600,"Wargame, Military, Real Time Tactics, RTS, Strategy",True
646570,"Roguelike Deckbuilder, Card Game, Card Battler, Rogue-like, Deckbuilding",True
346110,"Open World Survival Craft, Survival, Multiplayer, Open World, Dinosaurs",True
1466860,"Strategy, RTS, Base-Building, Multiplayer, War",True
881020,"Anime, JRPG, Action RPG, Action, Online Co-Op",True
983870,"Early Access, Automation, Base-Building, Sandbox, Resource Management",True
934700,"Co-op, Zombies, First-Person, Gore, Action-Adventure",True
1611910,"Warhammer 40K, Turn-Based Strategy, Turn-Based Tactics, Strategy RPG, Tactical",True
2050650,"Horror, Action, Survival Horror, Third-Person Shooter, Singleplayer",True
962130,"Survival, Multiplayer, Co-op, Open World Survival Craft, Base-Building",True
